country;subject_descriptor;units;scale;y2017;y2018;y2019;y2020;y2021;y2022
Macao SAR;Gross domestic product per capita, constant prices;National currency;Units;608,666.360;628,699.298;646,235.407;662,648.684;678,648.327;696,319.642
Madagascar;Gross domestic product per capita, constant prices;National currency;Units;327,252.438;334,937.138;342,836.325;351,208.356;359,453.191;366,967.894
Malawi;Gross domestic product per capita, constant prices;National currency;Units;71,070.611;71,270.946;72,046.835;73,531.470;75,404.064;77,690.812
Malaysia;Gross domestic product per capita, constant prices;National currency;Units;36,671.851;37,974.340;39,239.410;40,603.859;42,032.145;43,515.391
Maldives;Gross domestic product per capita, constant prices;National currency;Units;186,624.429;196,377.331;205,309.304;213,115.041;221,158.021;229,535.457
Mali;Gross domestic product per capita, constant prices;National currency;Units;274,564.066;279,518.781;284,989.749;290,268.034;295,334.166;300,474.232
Malta;Gross domestic product per capita, constant prices;National currency;Units;21,122.488;22,149.668;23,022.736;23,855.098;24,603.468;25,354.906
Marshall Islands;Gross domestic product per capita, constant prices;National currency;Units;3,132.366;3,157.356;3,179.156;3,191.826;3,199.603;3,201.065
Mauritania;Gross domestic product per capita, constant prices;National currency;Units;200,576.727;200,898.610;207,811.561;211,643.681;216,377.084;232,357.612
Mauritius;Gross domestic product per capita, constant prices;National currency;Units;273,020.718;283,067.606;293,729.659;305,123.724;317,451.804;330,277.982
Mexico;Gross domestic product per capita, constant prices;National currency;Units;146,998.509;148,464.152;149,451.253;150,950.719;153,134.312;155,819.394
Micronesia;Gross domestic product per capita, constant prices;National currency;Units;2,442.515;2,491.542;2,519.310;2,534.276;2,549.461;2,561.929
Moldova;Gross domestic product per capita, constant prices;National currency;Units;3,485.190;3,627.198;3,756.846;3,902.409;4,053.613;4,210.678
Mongolia;Gross domestic product per capita, constant prices;National currency;Units;5,313,602.159;5,576,875.268;5,814,945.998;5,988,923.234;6,171,129.786;6,356,032.057
Montenegro;Gross domestic product per capita, constant prices;National currency;Units;4,541.688;4,743.045;4,871.747;4,991.295;5,132.734;5,293.576
Morocco;Gross domestic product per capita, constant prices;National currency;Units;27,271.460;27,811.537;28,399.958;29,187.409;30,094.409;31,072.663
Mozambique;Gross domestic product per capita, constant prices;National currency;Units;16,449.194;16,543.359;16,753.501;16,968.229;17,187.603;17,411.949
Myanmar;Gross domestic product per capita, constant prices;National currency;Units;1,160,278.978;1,233,508.036;1,308,413.703;1,385,302.219;1,469,091.622;1,560,454.062
Namibia;Gross domestic product per capita, constant prices;National currency;Units;22,286.544;21,850.208;21,736.873;21,762.222;22,019.286;22,317.264
Nauru;Gross domestic product per capita, constant prices;National currency;Units;8,644.508;8,664.359;8,586.562;8,434.587;8,331.946;8,281.492
Nepal;Gross domestic product per capita, constant prices;National currency;Units;28,309.754;29,759.508;31,356.087;32,953.578;34,067.059;35,200.372
Netherlands;Gross domestic product per capita, constant prices;National currency;Units;42,319.778;43,266.899;43,921.919;44,534.615;45,067.510;45,632.565
New Zealand;Gross domestic product per capita, constant prices;National currency;Units;49,544.010;50,150.260;50,555.502;51,257.285;52,006.212;52,678.061
Nicaragua;Gross domestic product per capita, constant prices;National currency;Units;30,023.088;28,499.355;26,773.017;26,423.213;26,418.201;26,569.793
Niger;Gross domestic product per capita, constant prices;National currency;Units;158,534.067;161,721.209;167,105.225;171,815.906;175,926.149;189,465.177
Nigeria;Gross domestic product per capita, constant prices;National currency;Units;366,777.473;363,876.336;361,741.209;360,987.690;359,901.924;359,877.925
North Macedonia;Gross domestic product per capita, constant prices;National currency;Units;210,259.620;215,696.343;221,996.055;228,708.441;235,900.188;243,626.159
Norway;Gross domestic product per capita, constant prices;National currency;Units;601,303.748;605,861.306;614,348.135;622,068.798;629,232.678;636,144.908
Oman;Gross domestic product per capita, constant prices;National currency;Units;6,892.039;6,824.010;6,689.283;6,886.798;6,857.747;6,725.658
Pakistan;Gross domestic product per capita, constant prices;National currency;Units;59,384.254;61,337.968;61,957.757;62,528.085;63,083.485;63,593.910
Palau;Gross domestic product per capita, constant prices;National currency;Units;15,556.134;15,466.743;15,619.879;15,851.857;16,040.196;16,199.010
Panama;Gross domestic product per capita, constant prices;National currency;Units;9,812.923;10,046.943;10,498.235;10,921.115;11,295.859;11,683.462
Papua New Guinea;Gross domestic product per capita, constant prices;National currency;Units;7,316.976;7,167.592;7,285.686;7,361.653;7,470.886;7,586.643
Paraguay;Gross domestic product per capita, constant prices;National currency;Units;29,168,728.904;29,828,571.173;30,439,196.815;31,219,858.557;32,023,886.017;32,852,745.805
Peru;Gross domestic product per capita, constant prices;National currency;Units;16,169.726;16,639.790;17,116.796;17,619.138;18,137.003;18,663.519
Philippines;Gross domestic product per capita, constant prices;National currency;Units;82,593.476;86,333.147;90,121.414;94,193.778;98,568.069;103,128.072
Poland;Gross domestic product per capita, constant prices;National currency;Units;47,719.811;50,148.357;52,062.555;53,729.792;55,296.256;56,907.263
Portugal;Gross domestic product per capita, constant prices;National currency;Units;17,467.909;17,854.818;18,178.347;18,478.969;18,770.957;19,072.736
Puerto Rico;Gross domestic product per capita, constant prices;National currency;Units;3,013.697;2,973.336;2,999.210;3,023.791;3,046.212;3,066.413
Qatar;Gross domestic product per capita, constant prices;National currency;Units;304,425.292;303,979.315;308,162.700;317,143.009;326,847.798;334,707.153
Romania;Gross domestic product per capita, constant prices;National currency;Units;34,908.788;36,574.293;37,710.354;38,843.962;40,011.800;41,214.700
Russia;Gross domestic product per capita, constant prices;National currency;Units;607,172.026;621,449.617;631,815.304;643,090.283;654,383.933;665,594.083
Rwanda;Gross domestic product per capita, constant prices;National currency;Units;566,767.426;604,694.187;636,864.126;672,753.457;711,476.875;751,185.228
Samoa;Gross domestic product per capita, constant prices;National currency;Units;9,576.076;9,561.190;9,786.256;10,151.572;10,283.522;10,421.025
San Marino;Gross domestic product per capita, constant prices;National currency;Units;35,868.662;36,088.103;36,185.821;36,252.067;36,357.875;36,427.744
S„o TomÈ and PrÌncipe;Gross domestic product per capita, constant prices;National currency;Units;19,188,079.348;19,320,706.341;19,653,266.288;20,096,869.882;20,657,796.039;21,242,883.330
Saudi Arabia;Gross domestic product per capita, constant prices;National currency;Units;78,905.835;79,072.133;78,903.531;78,999.241;79,180.427;79,360.864
Senegal;Gross domestic product per capita, constant prices;National currency;Units;747,074.272;771,100.861;801,702.394;837,838.248;872,353.994;946,175.288
Serbia;Gross domestic product per capita, constant prices;National currency;Units;509,926.721;534,266.406;555,178.830;579,704.802;605,314.251;632,055.041
Seychelles;Gross domestic product per capita, constant prices;National currency;Units;93,983.018;96,298.472;98,660.411;101,074.854;104,341.105;107,556.782
Sierra Leone;Gross domestic product per capita, constant prices;National currency;Units;1,265,582.082;1,284,503.346;1,325,074.018;1,366,178.414;1,405,457.779;1,445,829.208
Singapore;Gross domestic product per capita, constant prices;National currency;Units;76,375.744;78,474.362;79,695.005;80,990.791;82,405.481;83,959.644
Slovak Republic;Gross domestic product per capita, constant prices;National currency;Units;15,022.916;15,620.214;16,173.615;16,709.314;17,227.884;17,745.344
Slovenia;Gross domestic product per capita, constant prices;National currency;Units;19,350.306;20,202.628;20,869.604;21,442.537;21,996.743;22,481.885
Solomon Islands;Gross domestic product per capita, constant prices;National currency;Units;8,259.803;8,355.617;8,411.394;8,457.468;8,495.550;8,536.652
Somalia;Gross domestic product per capita, constant prices;National currency;Units;;;;;;
South Africa;Gross domestic product per capita, constant prices;National currency;Units;55,199.444;54,473.530;54,264.900;54,217.338;54,329.919;54,442.732
South Sudan;Gross domestic product per capita, constant prices;National currency;Units;1,284.496;1,231.022;1,298.869;1,324.848;1,374.170;1,411.311
Spain;Gross domestic product per capita, constant prices;National currency;Units;24,563.821;25,162.682;25,584.937;25,947.843;26,283.339;26,608.194
Sri Lanka;Gross domestic product per capita, constant prices;National currency;Units;435,236.756;443,340.741;453,700.760;466,545.883;480,954.061;496,805.856
St. Kitts and Nevis;Gross domestic product per capita, constant prices;National currency;Units;38,817.352;39,572.142;40,542.978;41,537.632;42,351.100;43,054.731
St. Lucia;Gross domestic product per capita, constant prices;National currency;Units;20,310.353;20,382.550;20,927.296;21,363.219;21,677.105;21,872.954
St. Vincent and the Grenadines;Gross domestic product per capita, constant prices;National currency;Units;13,436.328;13,685.794;13,980.379;14,307.009;14,620.892;14,943.422
Sudan;Gross domestic product per capita, constant prices;National currency;Units;540.949;514.269;488.177;469.827;454.881;447.235
Suriname;Gross domestic product per capita, constant prices;National currency;Units;16,220.200;16,332.285;16,493.671;16,705.546;16,854.113;17,070.619
Sweden;Gross domestic product per capita, constant prices;National currency;Units;452,443.034;458,061.511;459,291.198;463,004.190;467,233.511;472,521.927
Switzerland;Gross domestic product per capita, constant prices;National currency;Units;81,127.304;82,553.438;82,437.919;82,731.786;83,058.789;83,387.085
Syria;Gross domestic product per capita, constant prices;National currency;Units;n/a;n/a;n/a;n/a;n/a;n/a
Taiwan Province of China;Gross domestic product per capita, constant prices;National currency;Units;694,949.482;712,276.490;729,148.780;746,546.381;763,648.717;780,019.626
Tajikistan;Gross domestic product per capita, constant prices;National currency;Units;28.899;30.290;31.172;31.945;32.756;33.605
Tanzania;Gross domestic product per capita, constant prices;National currency;Units;2,151,438.069;2,248,141.704;2,292,128.283;2,341,758.570;2,395,090.898;2,462,659.660
Thailand;Gross domestic product per capita, constant prices;National currency;Units;151,323.030;157,239.745;162,408.581;167,913.914;173,563.955;179,450.685
Timor-Leste;Gross domestic product per capita, constant prices;National currency;Units;2,409.964;2,167.330;2,258.934;2,235.339;1,917.942;1,515.767
Togo;Gross domestic product per capita, constant prices;National currency;Units;282,757.302;288,915.643;296,056.408;304,098.532;312,655.752;321,453.768
Tonga;Gross domestic product per capita, constant prices;National currency;Units;8,647.212;8,795.282;9,186.534;9,627.493;9,986.669;10,263.000
Trinidad and Tobago;Gross domestic product per capita, constant prices;National currency;Units;114,096.180;113,943.650;113,446.118;114,624.123;116,732.350;118,530.739
Tunisia;Gross domestic product per capita, constant prices;National currency;Units;6,160.702;6,244.660;6,348.368;6,488.313;6,650.936;6,860.510
Turkey;Gross domestic product per capita, constant prices;National currency;Units;20,958.357;21,183.550;20,392.738;20,657.723;21,017.468;21,396.458
Turkmenistan;Gross domestic product per capita, constant prices;National currency;Units;18,711.431;19,672.083;20,201.302;21,209.820;22,157.928;23,165.950
Tuvalu;Gross domestic product per capita, constant prices;National currency;Units;3,632.436;3,773.336;3,911.719;4,067.194;4,223.352;4,381.236
Uganda;Gross domestic product per capita, constant prices;National currency;Units;1,552,223.932;1,599,426.707;1,649,710.423;1,700,994.098;1,752,611.737;1,804,314.228
Ukraine;Gross domestic product per capita, constant prices;National currency;Units;23,928.223;24,815.846;25,590.527;26,461.548;27,388.884;28,374.242
United Arab Emirates;Gross domestic product per capita, constant prices;National currency;Units;140,269.928;138,660.563;138,383.786;138,741.335;138,705.920;138,491.091
United Kingdom;Gross domestic product per capita, constant prices;National currency;Units;30,366.853;30,594.078;30,768.113;31,019.918;31,331.748;31,661.383
United States;Gross domestic product per capita, constant prices;National currency;Units;55,484.960;56,717.201;57,650.645;58,330.722;58,957.644;59,517.759
Uruguay;Gross domestic product per capita, constant prices;National currency;Units;200,303.729;203,764.630;206,894.522;212,355.417;217,978.243;223,766.697
Uzbekistan;Gross domestic product per capita, constant prices;National currency;Units;6,348,032.289;6,555,992.176;6,777,430.925;7,046,650.450;7,368,549.069;7,712,760.938
Vanuatu;Gross domestic product per capita, constant prices;National currency;Units;238,381.062;240,477.874;242,122.988;243,305.998;244,494.789;245,689.387
Venezuela;Gross domestic product per capita, constant prices;National currency;Units;0.013;n/a;n/a;n/a;n/a;n/a
Vietnam;Gross domestic product per capita, constant prices;National currency;Units;34,840,114.137;36,937,907.771;38,960,170.416;41,099,809.820;43,363,934.105;45,762,877.228
Yemen;Gross domestic product per capita, constant prices;National currency;Units;8,234.677;7,793.987;7,745.180;8,307.532;8,793.875;9,160.037
Zambia;Gross domestic product per capita, constant prices;National currency;Units;7,779.602;7,807.739;7,808.094;7,792.908;7,778.611;7,754.990
Zimbabwe;Gross domestic product per capita, constant prices;National currency;Units;1,289.692;1,300.450;1,201.063;1,208.938;1,227.470;1,248.523
